order_id,cancellation_reason_id,cancellation_reason
188424,60,"Customer Has Already Purchased It From Somewhere Else"
188420,59,"Shop Closed And Customer Not Responding"
188401,51,"Some SKUs were missing"
188401,53,"Late Delivery"
188396,53,"Late Delivery"
188367,30,"Retailer's Location is Incorrect"
188366,30,"Retailer's Location is Incorrect"
188364,55,"SKU's NA"
188354,49,"Driver got late"
188354,58,"Customer Does Not Have Cash"
188352,58,"Customer Does Not Have Cash"
188348,30,"Retailer's Location is Incorrect"
188345,58,"Customer Does Not Have Cash"
188343,63," shop closed Other"
188333,53,"Late Delivery"
188332,59,"Shop Closed And Customer Not Responding"
188325,30,"Retailer's Location is Incorrect"
188274,63," shop closed Other"
188250,30,"Retailer's Location is Incorrect"
188185,49,"Driver got late"
188185,28,"Incomplete Order"
188180,63," shop closed Other"
188171,58,"Customer Does Not Have Cash"
188157,53,"Late Delivery"
188152,30,"Retailer's Location is Incorrect"
188141,52," Wrong location Other"
188141,57," Repeat order Other"
188139,57," Repeat order Other"
188139,52," Wrong location Other"
188136,30,"Retailer's Location is Incorrect"
188136,49,"Driver got late"
188134,55,"SKU's NA"
188129,60,"Customer Has Already Purchased It From Somewhere Else"
188121,63," shop closed Other"
188117,59,"Shop Closed And Customer Not Responding"
188114,58,"Customer Does Not Have Cash"
188113,58,"Customer Does Not Have Cash"
188092,55,"SKU's NA"
188089,63," shop closed Other"
188087,58,"Customer Does Not Have Cash"
188078,53,"Late Delivery"
188078,53,"Late Delivery"
188077,58,"Customer Does Not Have Cash"
188064,55,"SKU's NA"
188063,59,"Shop Closed And Customer Not Responding"
188026,30,"Retailer's Location is Incorrect"
188005,29,"No Service Area"
188001,29,"No Service Area"
188000,55,"SKU's NA"
187997,61,"Customer Claims That He Hasn't Placed The Order"
187993,60,"Customer Has Already Purchased It From Somewhere Else"
187984,55,"SKU's NA"
187983,59,"Shop Closed And Customer Not Responding"
187981,30,"Retailer's Location is Incorrect"
187964,55,"SKU's NA"
187953,63," shop closed Other"
187935,59,"Shop Closed And Customer Not Responding"
187930,58,"Customer Does Not Have Cash"
187866,57," order cancel cantt pass isssue Other"
187864,58,"Customer Does Not Have Cash"
187863,49,"Driver got late"
187863,60,"Customer Has Already Purchased It From Somewhere Else"
187858,63," shop closed Other"
187848,28,"Incomplete Order"
187842,49,"Driver got late"
187842,62,"Customer Claims That He Has Already Received The Same Before"
187837,28,"Incomplete Order"
187801,53,"Late Delivery"
187800,30,"Retailer's Location is Incorrect"
187793,60,"Customer Has Already Purchased It From Somewhere Else"
