id,order_id,agent_user_id
6715,188049,20773
5191,176219,47070
4367,167133,46908
4385,167219,46908
4431,167419,44736
4282,165358,46908
4281,165350,19311
2812,152271,18871
4293,165400,46908
4305,165489,46913
4316,165565,46913
4318,165601,19311
3278,155672,18871
3259,155474,43427
3269,155566,20282
3261,155481,43427
4271,165306,16781
4264,165273,16781
4329,166433,46913
4610,169141,11310
5196,176233,45342
4831,171654,44736
4332,166566,46913
3653,159660,52140
3267,155554,20773
3270,155568,20282
3274,155602,46913
4834,171676,22515
4839,171684,47070
5201,176257,45342
4841,171687,46943
3708,160510,20282
3754,160678,11310
3800,160908,16781
3656,159679,18871
3801,160909,46908
3774,160769,16781
3773,160763,11310
3679,159925,49026
3729,160595,20282
3803,160923,30836
3781,160802,11312
3757,160706,45342
3680,159926,49026
3793,160860,52140
3651,159633,44736
3509,158694,19311
3273,155601,16781
3059,154158,16781
3062,154402,20282
3571,159214,51496
3484,158220,19311
3478,158132,20773
3587,159276,19311
3496,158337,22515
3308,156845,19311
3396,157680,46908
3412,157739,51496
3419,157767,51496
3400,157688,46943
3428,157808,46908
3364,157505,30836
3358,157464,47067
3374,157578,51496
3369,157533,46943
3355,157455,19311
3387,157622,51496
3410,157734,22515
3377,157582,46943
3391,157649,22515
3482,158201,46913
3593,159290,44736
3625,159445,51496
6693,187921,16231
5611,179247,16781
3505,158594,20773
3489,158268,22515
2596,151251,18871
3277,155648,18871
6709,188017,46913
3514,158788,19311
3510,158747,43385
2597,151254,18871
3511,158769,43427
2620,151348,46943
3497,158361,46913
3649,159627,52140
4828,171617,44736
2606,151307,18871
3424,157778,20282
2607,151309,17205
3346,157427,37402
3515,158943,20282
3508,158656,22515
6631,187621,47070
4816,170951,19311
6698,187944,52138
3341,157410,18871
3638,159544,19311
5207,176306,45342
2659,151480,46908
3605,159352,46943
2660,151482,51496
4838,171683,47070
2624,151363,45342
2644,151433,49026
2699,151679,44736
2650,151455,22515
3628,159461,51496
2654,151467,16231
2679,151587,45342
2632,151395,43385
2695,151660,20282
2611,151323,17205
3812,161005,18871
2656,151472,19311
4826,171588,46908
6710,188034,20773
2645,151439,46943
2772,152074,16781
2636,151412,22515
4770,170716,47070
2726,151809,19311
2687,151630,45342
2630,151390,17205
2621,151350,18871
2719,151765,20282
2676,151568,46943
2667,151528,49026
2635,151410,37402
2690,151649,22515
2761,151986,20773
3283,155748,37402
2639,151423,16781
2686,151618,47067
2615,151339,20282
2693,151653,46908
2692,151652,17205
2711,151732,20282
4811,170806,51496
2628,151386,19311
2739,151888,51496
2734,151869,46908
2748,151931,20773
2671,151555,43385
2764,152013,17205
2744,151918,46908
2730,151827,51496
3572,159216,46908
2752,151942,19311
2749,151933,20282
4336,166863,20282
2753,151949,44742
2757,151979,20282
3555,159152,22515
2735,151876,20282
2733,151859,16781
2743,151917,44736
2751,151941,16781
